城市,年份,国内旅游人数（万人）
玉林市,2014,1653.75
玉林市,2015,2027.02
玉林市,2016,2787.85
玉林市,2017,3989.88
玉林市,2018,5243.63
玉林市,2019,6970.25
玉林市,2020,5111.37
玉林市,2021,6353.56
玉林市,2022,4822.2
玉林市,2023,
百色市,2000,
百色市,2001,
百色市,2002,120
百色市,2003,345
百色市,2004,251
百色市,2005,405
百色市,2006,501.95
百色市,2007,561.5
百色市,2008,645.25
百色市,2009,1032.3
百色市,2010,952
百色市,2011,1119.78
百色市,2012,1356.3
百色市,2013,1680.45
百色市,2014,1997.8
百色市,2015,2321.92
百色市,2016,2716.69
百色市,2017,3265.21
百色市,2018,4208.38
百色市,2019,5582.65
百色市,2020,4281.82
百色市,2021,5044.37
百色市,2022,3354.58
百色市,2023,
贵港市,2000,
贵港市,2001,
贵港市,2002,323.52
贵港市,2003,230.58
贵港市,2004,258
贵港市,2005,294
贵港市,2006,337.96
贵港市,2007,397.31
贵港市,2008,447
贵港市,2009,525.27
贵港市,2010,623.02
贵港市,2011,744.62
贵港市,2012,918.75
贵港市,2013,1095.16
贵港市,2014,1266.25
贵港市,2015,1435.85
贵港市,2016,1666.6
贵港市,2017,2090.71
贵港市,2018,2733.31
贵港市,2019,3591.84
贵港市,2020,2701.83
贵港市,2021,3340.06
贵港市,2022,2632.28
贵港市,2023,
贺州市,2000,
贺州市,2001,
贺州市,2002,169.19
贺州市,2003,176.93
贺州市,2004,235.53
贺州市,2005,176
贺州市,2006,309.53
贺州市,2007,291.12
贺州市,2008,215.36
贺州市,2009,287.78
贺州市,2010,487.43
贺州市,2011,640.12
贺州市,2012,785.12
贺州市,2013,1030.09
贺州市,2014,1257.17
贺州市,2015,1526.53
贺州市,2016,1775.52
贺州市,2017,2171.47
贺州市,2018,3210.58
贺州市,2019,4299.17
贺州市,2020,3309.29
贺州市,2021,3993.97
贺州市,2022,3022.68
贺州市,2023,
钦州市,2000,
钦州市,2001,
钦州市,2002,47498
钦州市,2003,136
钦州市,2004,165.11
钦州市,2005,176
钦州市,2006,193.56
钦州市,2007,302.38
钦州市,2008,346.09
钦州市,2009,402.2
钦州市,2010,469.33
钦州市,2011,570.41
钦州市,2012,692.75
钦州市,2013,774.25
钦州市,2014,868.31
钦州市,2015,1077.07
钦州市,2016,1801.21
钦州市,2017,2564.3
钦州市,2018,3841.7
钦州市,2019,4988.03
钦州市,2020,3875.58
钦州市,2021,4634.88
钦州市,2022,3224.8
钦州市,2023,
防城港市,2000,
防城港市,2001,
防城港市,2002,144.94
防城港市,2003,113.59
防城港市,2004,153
防城港市,2005,169.81
防城港市,2006,178.7
防城港市,2007,193.81
防城港市,2008,150.19
防城港市,2009,418.09
防城港市,2010,550.09
防城港市,2011,675.59
防城港市,2012,806.53
防城港市,2013,965.11
防城港市,2014,1168.4
防城港市,2015,1345.77
防城港市,2016,1568.79
防城港市,2017,2016.35
防城港市,2018,2746.71
防城港市,2019,3651.69
防城港市,2020,2767.39
防城港市,2021,3395.92
防城港市,2022,668.18
防城港市,2023,
乌鲁木齐市,2000,
乌鲁木齐市,2001,363.74
乌鲁木齐市,2002,384.98
乌鲁木齐市,2003,383.48
乌鲁木齐市,2004,447.83
乌鲁木齐市,2005,464.85
乌鲁木齐市,2006,502.98
乌鲁木齐市,2007,589.46
乌鲁木齐市,2008,519.32
乌鲁木齐市,2009,429.05
乌鲁木齐市,2010,465.57
乌鲁木齐市,2011,681.6
乌鲁木齐市,2012,811.5
乌鲁木齐市,2013,902.4
乌鲁木齐市,2014,879.3
乌鲁木齐市,2015,957.7
乌鲁木齐市,2016,1093.41
乌鲁木齐市,2017,1251.62
乌鲁木齐市,2018,1611.57
乌鲁木齐市,2019,
乌鲁木齐市,2020,
乌鲁木齐市,2021,
乌鲁木齐市,2022,
乌鲁木齐市,2023,
克拉玛依市,2000,
克拉玛依市,2001,
克拉玛依市,2002,15.3
克拉玛依市,2003,16.7
克拉玛依市,2004,32
克拉玛依市,2005,36
克拉玛依市,2006,41
克拉玛依市,2007,47
克拉玛依市,2008,48.1
克拉玛依市,2009,100.3
克拉玛依市,2010,111.7
克拉玛依市,2011,132.3
克拉玛依市,2012,111.7
克拉玛依市,2013,290.08
克拉玛依市,2014,
克拉玛依市,2015,
克拉玛依市,2016,
克拉玛依市,2017,
克拉玛依市,2018,
克拉玛依市,2019,
克拉玛依市,2020,
克拉玛依市,2021,
克拉玛依市,2022,882.137
克拉玛依市,2023,
吐鲁番市,2000,
吐鲁番市,2001,
吐鲁番市,2002,116
吐鲁番市,2003,91
吐鲁番市,2004,72
吐鲁番市,2005,85
吐鲁番市,2006,98
吐鲁番市,2007,75
吐鲁番市,2008,170.9
吐鲁番市,2009,174.74
吐鲁番市,2010,395.1
吐鲁番市,2011,435.2
吐鲁番市,2012,407.1
吐鲁番市,2013,521.54
吐鲁番市,2014,461.8
吐鲁番市,2015,508.3
吐鲁番市,2016,622.8
吐鲁番市,2017,992.46
吐鲁番市,2018,1594.06
吐鲁番市,2019,2323.09
吐鲁番市,2020,1389.02
吐鲁番市,2021,1689.57
吐鲁番市,2022,1133.88
吐鲁番市,2023,
哈密市,2000,
哈密市,2001,
哈密市,2002,54.2
哈密市,2003,54
哈密市,2004,44
哈密市,2005,49
哈密市,2006,55
哈密市,2007,170
哈密市,2008,80.5
哈密市,2009,140.08
哈密市,2010,153
哈密市,2011,205
哈密市,2012,182.3
哈密市,2013,249.06
哈密市,2014,
哈密市,2015,
哈密市,2016,547.5
哈密市,2017,728.77
哈密市,2018,1001.34
哈密市,2019,
哈密市,2020,
哈密市,2021,
哈密市,2022,
哈密市,2023,
南京市,2000,
南京市,2001,
南京市,2002,2076.2
南京市,2003,2223.9
南京市,2004,2806
南京市,2005,3190
南京市,2006,3700
南京市,2007,4488.88
南京市,2008,4970.2
南京市,2009,5519.91
南京市,2010,6365.5
南京市,2011,7180.5
南京市,2012,7950.5
南京市,2013,8674.01
南京市,2014,9419.3
南京市,2015,9992.7
南京市,2016,10657.3
南京市,2017,11383.3
南京市,2018,12185.9
南京市,2019,12718.8
南京市,2020,8670.37
南京市,2021,10830.6
南京市,2022,10329
南京市,2023,
南通市,2000,
南通市,2001,
南通市,2002,450.3
南通市,2003,515
南通市,2004,629
南通市,2005,743
南通市,2006,883
南通市,2007,1072
南通市,2008,1275
南通市,2009,1483
南通市,2010,1757
南通市,2011,2109
南通市,2012,2408
南通市,2013,2716
南通市,2014,3066
南通市,2015,3387
南通市,2016,3792
南通市,2017,4247
南通市,2018,4767
南通市,2019,5251
南通市,2020,1621
南通市,2021,4314.97
南通市,2022,2915.17
南通市,2023,
宿迁市,2000,
宿迁市,2001,
宿迁市,2002,129.6
宿迁市,2003,140.7
宿迁市,2004,166
宿迁市,2005,182
宿迁市,2006,222
宿迁市,2007,283.74
宿迁市,2008,370.9
宿迁市,2009,427.74
宿迁市,2010,490.4
宿迁市,2011,610.4
宿迁市,2012,804.8
宿迁市,2013,1002.02
宿迁市,2014,1169.8
宿迁市,2015,1316.6
宿迁市,2016,1491.1
宿迁市,2017,1694.52
宿迁市,2018,1950.76
宿迁市,2019,2168.21
宿迁市,2020,1251.13
宿迁市,2021,1801.26
宿迁市,2022,1738.13
宿迁市,2023,
常州市,2000,
常州市,2001,
常州市,2002,680.2
常州市,2003,817.1
常州市,2004,1041
常州市,2005,1283
常州市,2006,1502
常州市,2007,1746.95
常州市,2008,2037.1
常州市,2009,2342.81
常州市,2010,2802.43
常州市,2011,3360.88
常州市,2012,3958.27
常州市,2013,4425.35
常州市,2014,4989.34
常州市,2015,5443
常州市,2016,5989.6
常州市,2017,6582.71
常州市,2018,7224.54
常州市,2019,7947.05
常州市,2020,5148.34
常州市,2021,6999.42
常州市,2022,6369.16
常州市,2023,
徐州市,2000,
徐州市,2001,
徐州市,2002,509.6
徐州市,2003,583.6
徐州市,2004,801
徐州市,2005,994
徐州市,2006,1149
徐州市,2007,1344.15
徐州市,2008,1538.3
徐州市,2009,1790.91
徐州市,2010,2049.4
徐州市,2011,2457.3
徐州市,2012,2752.6
徐州市,2013,3087.15
徐州市,2014,3566.6
徐州市,2015,4005.3
徐州市,2016,4515.5
徐州市,2017,5097.77
徐州市,2018,5758.44
徐州市,2019,6337.14
徐州市,2020,2754.88
徐州市,2021,5196.23
徐州市,2022,3333.26
徐州市,2023,
扬州市,2000,
扬州市,2001,
扬州市,2002,633.6
扬州市,2003,685.5
扬州市,2004,905
扬州市,2005,1113
扬州市,2006,1316
扬州市,2007,1522.42
扬州市,2008,1844.2
扬州市,2009,2265.5
扬州市,2010,2647.2
扬州市,2011,3166.7
扬州市,2012,3572.5
扬州市,2013,3965.36
扬州市,2014,4545.88
扬州市,2015,5027.21
扬州市,2016,5622.02
扬州市,2017,6290.6
扬州市,2018,7036.59
扬州市,2019,7739.11
扬州市,2020,3839.61
扬州市,2021,6060.37
扬州市,2022,5065.3
扬州市,2023,
无锡市,2000,
无锡市,2001,
无锡市,2002,1501.6
无锡市,2003,1765.4
无锡市,2004,2207
无锡市,2005,2638
无锡市,2006,3033
无锡市,2007,3350.76
无锡市,2008,3682.4
无锡市,2009,4310.48
无锡市,2010,5067.3
无锡市,2011,5725.2
无锡市,2012,6365.3
无锡市,2013,6993.57
无锡市,2014,7573.7
无锡市,2015,8043.3
无锡市,2016,8586.03
无锡市,2017,9179.34
无锡市,2018,9817.68
无锡市,2019,10236.9
无锡市,2020,6010.2
无锡市,2021,8800.09
无锡市,2022,7920.98
无锡市,2023,12712
泰州市,2000,
泰州市,2001,
泰州市,2002,331.5
泰州市,2003,350.2
泰州市,2004,422
泰州市,2005,488
泰州市,2006,567
泰州市,2007,660.54
泰州市,2008,786.1
泰州市,2009,933.24
泰州市,2010,1072.8
泰州市,2011,1284.7
泰州市,2012,1457
泰州市,2013,1640.46
泰州市,2014,1848.68
泰州市,2015,2037.34
泰州市,2016,2282.32
泰州市,2017,2558.32
泰州市,2018,2868.39
泰州市,2019,3156.72
泰州市,2020,1266.96
泰州市,2021,2336.01
泰州市,2022,1685.24
泰州市,2023,
淮安市,2000,
淮安市,2001,
淮安市,2002,345.5
淮安市,2003,406.1
淮安市,2004,490
淮安市,2005,550
淮安市,2006,635
淮安市,2007,733.29
淮安市,2008,854.7
淮安市,2009,1010.03
淮安市,2010,1156.3
淮安市,2011,1398.2
淮安市,2012,1610.7
淮安市,2013,1833.2
淮安市,2014,2089.6
淮安市,2015,2323.8
淮安市,2016,2610.5
淮安市,2017,2931.74
淮安市,2018,3290.11
淮安市,2019,3658.47
淮安市,2020,2204.36
淮安市,2021,3293.95
淮安市,2022,2492.86
淮安市,2023,
盐城市,2000,
盐城市,2001,
盐城市,2002,378.9
盐城市,2003,415.1
盐城市,2004,465
盐城市,2005,530
盐城市,2006,611
盐城市,2007,703
盐城市,2008,806
盐城市,2009,962
盐城市,2010,1105
盐城市,2011,1325
盐城市,2012,1537
盐城市,2013,1754
盐城市,2014,2015
盐城市,2015,2266
盐城市,2016,2574
盐城市,2017,2927
盐城市,2018,3327
盐城市,2019,3704
盐城市,2020,2405
盐城市,2021,2672.27
盐城市,2022,2573.25
盐城市,2023,
苏州市,2000,1496.05
苏州市,2001,
苏州市,2002,2010.1
苏州市,2003,2350.2
苏州市,2004,3157
苏州市,2005,3657
苏州市,2006,4135
苏州市,2007,4792.39
苏州市,2008,5286.88
苏州市,2009,5869.67
苏州市,2010,7004.88
苏州市,2011,7775.38
苏州市,2012,8624.43
苏州市,2013,9416.33
苏州市,2014,10028.8
苏州市,2015,10605.5
苏州市,2016,11300.4
苏州市,2017,12046.4
苏州市,2018,12847.7
苏州市,2019,13374.1
苏州市,2020,9382.14
苏州市,2021,11248.8
苏州市,2022,9901.83
苏州市,2023,
连云港市,2000,
连云港市,2001,
连云港市,2002,381.9
连云港市,2003,501.6
连云港市,2004,609
连云港市,2005,700
连云港市,2006,803
连云港市,2007,911
连云港市,2008,1065
连云港市,2009,1210
连云港市,2010,1393
连云港市,2011,1656
连云港市,2012,1894
连云港市,2013,2136
连云港市,2014,2415
连云港市,2015,2682.7
连云港市,2016,3011.1
连云港市,2017,3384.18
连云港市,2018,3802.19
连云港市,2019,4199.36
连云港市,2020,2562.55
连云港市,2021,3619.51
连云港市,2022,3411.14
连云港市,2023,
镇江市,2000,443
镇江市,2001,486
镇江市,2002,610
镇江市,2003,670
镇江市,2004,971
镇江市,2005,1167
镇江市,2006,1381
镇江市,2007,1590
镇江市,2008,1904
镇江市,2009,2242
镇江市,2010,2607
镇江市,2011,3100
镇江市,2012,3502
镇江市,2013,3895
镇江市,2014,4385
镇江市,2015,4803
镇江市,2016,5348
镇江市,2017,5965
镇江市,2018,6547
镇江市,2019,7121
镇江市,2020,3772.93
镇江市,2021,5563.56
镇江市,2022,2354.38
镇江市,2023,4777.41
上饶市,2000,
上饶市,2001,
上饶市,2002,318
上饶市,2003,324
上饶市,2004,377
上饶市,2005,500
上饶市,2006,572
上饶市,2007,695
上饶市,2008,1001
上饶市,2009,1496.5
上饶市,2010,
上饶市,2011,1856
上饶市,2012,2486
上饶市,2013,3451
上饶市,2014,4282.96
上饶市,2015,5273.42
上饶市,2016,6433.38
上饶市,2017,6579.75
上饶市,2018,7975.43
上饶市,2019,9321.46
上饶市,2020,7008.99
上饶市,2021,8296.63
上饶市,2022,7302.8
上饶市,2023,
九江市,2000,
九江市,2001,
九江市,2002,602
九江市,2003,605
九江市,2004,668
九江市,2005,820
九江市,2006,1011
九江市,2007,1200
九江市,2008,1295
九江市,2009,1504
九江市,2010,
九江市,2011,2179
九江市,2012,3018
九江市,2013,3435
九江市,2014,4329.57
九江市,2015,5270.05
九江市,2016,6428.95
九江市,2017,6692.93
九江市,2018,8018.66
九江市,2019,9067.71
九江市,2020,8300.88
九江市,2021,9382.51
九江市,2022,8085.63
九江市,2023,
南昌市,2000,
南昌市,2001,
南昌市,2002,508
南昌市,2003,490
南昌市,2004,587
南昌市,2005,718
南昌市,2006,829
南昌市,2007,937
南昌市,2008,1052.2
南昌市,2009,1227
南昌市,2010,1498.05
南昌市,2011,2094
南昌市,2012,2609
南昌市,2013,3282
南昌市,2014,4266.02
南昌市,2015,5271.22
南昌市,2016,6470.11
南昌市,2017,7192.3
南昌市,2018,8545.7
南昌市,2019,9731.96
南昌市,2020,8856.12
南昌市,2021,10010.6
南昌市,2022,8222.78
南昌市,2023,
吉安市,2000,
吉安市,2001,
吉安市,2002,311
吉安市,2003,361
吉安市,2004,481
吉安市,2005,686
吉安市,2006,769
吉安市,2007,862
吉安市,2008,1055.6
吉安市,2009,1226
吉安市,2010,
吉安市,2011,1911
吉安市,2012,2496
吉安市,2013,3029
吉安市,2014,3762.02
吉安市,2015,4650.31
吉安市,2016,5668.7
吉安市,2017,5846.49
吉安市,2018,6785.54
吉安市,2019,7768.78
吉安市,2020,5062.1
吉安市,2021,6451.92
吉安市,2022,5191.18
吉安市,2023,
宜春市,2000,
宜春市,2001,
宜春市,2002,202
宜春市,2003,204
宜春市,2004,265
宜春市,2005,320
宜春市,2006,384
宜春市,2007,443
宜春市,2008,519.7
宜春市,2009,664.3
宜春市,2010,
宜春市,2011,1037
宜春市,2012,1377
宜春市,2013,1775
宜春市,2014,2158.59
宜春市,2015,2720.88
宜春市,2016,3359.17
宜春市,2017,5864.27
宜春市,2018,6876.28
宜春市,2019,7973.82
宜春市,2020,6899.32
宜春市,2021,7775.62
宜春市,2022,7161.73
宜春市,2023,
抚州市,2000,
抚州市,2001,
抚州市,2002,160
抚州市,2003,161
抚州市,2004,188
抚州市,2005,237
抚州市,2006,288
抚州市,2007,314
抚州市,2008,479
抚州市,2009,586
抚州市,2010,
抚州市,2011,866
抚州市,2012,1016
抚州市,2013,1215
抚州市,2014,1628.45
抚州市,2015,2099.63
抚州市,2016,2633.52
抚州市,2017,3893.87
抚州市,2018,4545.08
抚州市,2019,5358.05
抚州市,2020,4104.97
抚州市,2021,5947.43
抚州市,2022,5263.36
抚州市,2023,
新余市,2000,
新余市,2001,
新余市,2002,106
新余市,2003,122
新余市,2004,141
新余市,2005,197
新余市,2006,236
新余市,2007,265
新余市,2008,360
新余市,2009,403
新余市,2010,
新余市,2011,675
新余市,2012,679
新余市,2013,855
新余市,2014,1056.88
新余市,2015,1300.21
新余市,2016,1576.8
新余市,2017,3000.11
新余市,2018,4293.15
新余市,2019,5044.43
新余市,2020,4364.87
新余市,2021,5434.37
新余市,2022,5469.47
新余市,2023,
景德镇市,2000,
景德镇市,2001,
景德镇市,2002,176
景德镇市,2003,208
景德镇市,2004,324
景德镇市,2005,422
景德镇市,2006,539
景德镇市,2007,669
景德镇市,2008,897
景德镇市,2009,1081.1
景德镇市,2010,
景德镇市,2011,1513
景德镇市,2012,1982
景德镇市,2013,2222
景德镇市,2014,2568.87
景德镇市,2015,3098.83
景德镇市,2016,3774.35
景德镇市,2017,4145.92
景德镇市,2018,4930.95
景德镇市,2019,5509.89
景德镇市,2020,2247.45
景德镇市,2021,5331.65
景德镇市,2022,4466.69
景德镇市,2023,
萍乡市,2000,
萍乡市,2001,
萍乡市,2002,120
萍乡市,2003,190
萍乡市,2004,226
萍乡市,2005,305
萍乡市,2006,369
萍乡市,2007,448
萍乡市,2008,501.5
萍乡市,2009,576.7
萍乡市,2010,
萍乡市,2011,1055
萍乡市,2012,1401
萍乡市,2013,1707
萍乡市,2014,2185.24
萍乡市,2015,2649.39
萍乡市,2016,3184.71
萍乡市,2017,4457.11
萍乡市,2018,5005.45
萍乡市,2019,5824.66
萍乡市,2020,3936.49
萍乡市,2021,5765.26
萍乡市,2022,4312.15
萍乡市,2023,
赣州市,2000,
赣州市,2001,
赣州市,2002,517
赣州市,2003,517
赣州市,2004,587
赣州市,2005,602
赣州市,2006,701
赣州市,2007,778
赣州市,2008,979.6
赣州市,2009,1154.5
赣州市,2010,
赣州市,2011,1751
赣州市,2012,2182
赣州市,2013,2575
赣州市,2014,3079.37
赣州市,2015,3749.07
赣州市,2016,4597.32
赣州市,2017,5571.87
赣州市,2018,6977.33
赣州市,2019,8306.29
赣州市,2020,7788.33
赣州市,2021,8801.02
赣州市,2022,8299.58
赣州市,2023,
鹰潭市,2000,
鹰潭市,2001,
鹰潭市,2002,250
鹰潭市,2003,209
鹰潭市,2004,245
鹰潭市,2005,250
鹰潭市,2006,302
鹰潭市,2007,332
鹰潭市,2008,790
鹰潭市,2009,510
鹰潭市,2010,
鹰潭市,2011,917
鹰潭市,2012,1101
鹰潭市,2013,1300
鹰潭市,2014,1816.5
鹰潭市,2015,2309.17
鹰潭市,2016,2786.38
鹰潭市,2017,3819.97
鹰潭市,2018,4390.48
鹰潭市,2019,5171.23
鹰潭市,2020,2500.58
鹰潭市,2021,5103.97
鹰潭市,2022,4105.34
鹰潭市,2023,
保定市,2000,
保定市,2001,
保定市,2002,1426
保定市,2003,950
保定市,2004,1542
保定市,2005,1705
保定市,2006,1850
保定市,2007,1980.38
保定市,2008,1899
保定市,2009,2278.1
保定市,2010,2811.7
保定市,2011,3395.8
保定市,2012,3989.5
保定市,2013,4746.13
保定市,2014,5173.3
保定市,2015,6634.4
保定市,2016,7983.44
保定市,2017,9629.82
保定市,2018,11155.3
保定市,2019,12925.3
保定市,2020,7362.29
保定市,2021,7191.52
保定市,2022,6075.29
保定市,2023,
唐山市,2000,
唐山市,2001,
唐山市,2002,429
唐山市,2003,337.7
唐山市,2004,510
唐山市,2005,565
唐山市,2006,685
唐山市,2007,762
唐山市,2008,957
唐山市,2009,1226
唐山市,2010,1532.35
唐山市,2011,2000.95
唐山市,2012,2454
唐山市,2013,2770.31
唐山市,2014,3020
唐山市,2015,3398.93
唐山市,2016,4469.05
唐山市,2017,5591.31
唐山市,2018,6652.06
唐山市,2019,7852.48
唐山市,2020,4238.27
唐山市,2021,5087.82
唐山市,2022,4556.3
唐山市,2023,
廊坊市,2000,
廊坊市,2001,
廊坊市,2002,58.5
廊坊市,2003,71.9
廊坊市,2004,328
廊坊市,2005,406
廊坊市,2006,460
廊坊市,2007,526.18
廊坊市,2008,563.4
廊坊市,2009,680.25
廊坊市,2010,818.5
廊坊市,2011,1000
廊坊市,2012,835.4
廊坊市,2013,1437.93
廊坊市,2014,1567.3
廊坊市,2015,2012.9
廊坊市,2016,2680.2
廊坊市,2017,3361.73
廊坊市,2018,3919.7
廊坊市,2019,4529.61
廊坊市,2020,2286.88
廊坊市,2021,2748.78
廊坊市,2022,1720.87
廊坊市,2023,
张家口市,2000,
张家口市,2001,
张家口市,2002,270.6
张家口市,2003,274.1
张家口市,2004,350
张家口市,2005,441
张家口市,2006,530
张家口市,2007,612.99
张家口市,2008,537
张家口市,2009,702.5
张家口市,2010,1034.7
张家口市,2011,1495.2
张家口市,2012,2009.7
张家口市,2013,2538.83
张家口市,2014,2767.3
张家口市,2015,3837.3
张家口市,2016,5182.6
张家口市,2017,6247.56
张家口市,2018,
张家口市,2019,8590.99
张家口市,2020,2455.26
张家口市,2021,4317.05
张家口市,2022,3068.73
张家口市,2023,
承德市,2000,
承德市,2001,
承德市,2002,471.1
承德市,2003,410.6
承德市,2004,539
承德市,2005,604
承德市,2006,681
承德市,2007,801.16
承德市,2008,727.8
承德市,2009,1060.3
承德市,2010,1285.6
承德市,2011,1667.8
承德市,2012,1976.06
承德市,2013,1667.6
承德市,2014,1976.06
承德市,2015,3318.41
承德市,2016,4604.12
承德市,2017,5761.54
承德市,2018,6972.6
承德市,2019,7954.34
承德市,2020,2800.99
承德市,2021,3605.12
承德市,2022,1648.64
承德市,2023,
沧州市,2000,
沧州市,2001,
沧州市,2002,153
沧州市,2003,110
沧州市,2004,179
沧州市,2005,231
沧州市,2006,283
沧州市,2007,341
沧州市,2008,369
沧州市,2009,498
沧州市,2010,575
沧州市,2011,688
沧州市,2012,1210
沧州市,2013,969
沧州市,2014,1057
沧州市,2015,1224.33
沧州市,2016,1473.5
沧州市,2017,1829.07
沧州市,2018,2112.04
沧州市,2019,2467.86
沧州市,2020,1693.04
沧州市,2021,2071.83
沧州市,2022,2027.37
沧州市,2023,
石家庄市,2000,
石家庄市,2001,
石家庄市,2002,1438
石家庄市,2003,1115
石家庄市,2004,1441
石家庄市,2005,1607
石家庄市,2006,1753
石家庄市,2007,1901.76
石家庄市,2008,1716.3
石家庄市,2009,1973.4
石家庄市,2010,2350.5
石家庄市,2011,3247
石家庄市,2012,4185.2
石家庄市,2013,4874.3
石家庄市,2014,5778.6
石家庄市,2015,6763.4
石家庄市,2016,7628.4
石家庄市,2017,9216.42
石家庄市,2018,11037.8
石家庄市,2019,12666.8
石家庄市,2020,6577.15
石家庄市,2021,6709.66
石家庄市,2022,5754.9
石家庄市,2023,12756.5
秦皇岛市,2000,701
秦皇岛市,2001,
秦皇岛市,2002,801.1
秦皇岛市,2003,592.3
秦皇岛市,2004,1212
秦皇岛市,2005,1302
秦皇岛市,2006,1409
秦皇岛市,2007,1510
秦皇岛市,2008,1227
秦皇岛市,2009,1638
秦皇岛市,2010,1861
秦皇岛市,2011,2101
秦皇岛市,2012,2313
秦皇岛市,2013,2565
秦皇岛市,2014,2796
秦皇岛市,2015,3344
秦皇岛市,2016,4189
秦皇岛市,2017,5223.5
秦皇岛市,2018,6218
秦皇岛市,2019,7227.67
秦皇岛市,2020,2680.11
秦皇岛市,2021,3122.93
秦皇岛市,2022,1885.78
秦皇岛市,2023,
衡水市,2000,
衡水市,2001,
衡水市,2002,70.1
衡水市,2003,72.9
衡水市,2004,100
衡水市,2005,116
衡水市,2006,133
衡水市,2007,167.4
衡水市,2008,185
衡水市,2009,288.98
衡水市,2010,347
衡水市,2011,456.7
衡水市,2012,583.9
衡水市,2013,700.11
衡水市,2014,763.1
衡水市,2015,1036.6
衡水市,2016,1367
衡水市,2017,1731.23
衡水市,2018,1993.3
衡水市,2019,2288.17
衡水市,2020,1444.3
衡水市,2021,1838.87
衡水市,2022,1818.96
衡水市,2023,
邢台市,2000,
邢台市,2001,
邢台市,2002,228.8
邢台市,2003,142.6
邢台市,2004,276
邢台市,2005,325
邢台市,2006,420
邢台市,2007,488.9
邢台市,2008,548.2
邢台市,2009,632.07
邢台市,2010,754
邢台市,2011,854.3
邢台市,2012,1054
邢台市,2013,1194.06
邢台市,2014,1301.5
邢台市,2015,1713
邢台市,2016,2106.54
邢台市,2017,2628.56
邢台市,2018,3054.85
邢台市,2019,3547.61
邢台市,2020,2409.64
邢台市,2021,3086.99
邢台市,2022,2122.64
邢台市,2023,
邯郸市,2000,
邯郸市,2001,
邯郸市,2002,641
邯郸市,2003,401
邯郸市,2004,762
邯郸市,2005,768
邯郸市,2006,850
邯郸市,2007,938
邯郸市,2008,1018
邯郸市,2009,1186
邯郸市,2010,1481
邯郸市,2011,1720
邯郸市,2012,2300
邯郸市,2013,2761.15
邯郸市,2014,3009.7
邯郸市,2015,3633
邯郸市,2016,4734.2
邯郸市,2017,5853.14
邯郸市,2018,6986.01
邯郸市,2019,8028.04
邯郸市,2020,4004.56
邯郸市,2021,5086.79
邯郸市,2022,3307.54
邯郸市,2023,
三门峡市,2000,
三门峡市,2001,
三门峡市,2002,
三门峡市,2003,266.2
三门峡市,2004,408
三门峡市,2005,507
三门峡市,2006,327
三门峡市,2007,822.77
三门峡市,2008,1056.2
三门峡市,2009,1303.35
三门峡市,2010,1454.6
三门峡市,2011,1727.7
三门峡市,2012,2028.3
三门峡市,2013,2268.58
三门峡市,2014,2531.7
三门峡市,2015,2891.2
三门峡市,2016,3208
三门峡市,2017,3457.18
三门峡市,2018,4307.8
三门峡市,2019,5005.5
三门峡市,2020,2531
三门峡市,2021,3292.8
三门峡市,2022,
三门峡市,2023,
信阳市,2000,
信阳市,2001,
信阳市,2002,
信阳市,2003,281.6
信阳市,2004,383
信阳市,2005,476
信阳市,2006,582
信阳市,2007,754.17
信阳市,2008,932.9
信阳市,2009,1064.45
信阳市,2010,1249.4
信阳市,2011,1502.1
信阳市,2012,1807
信阳市,2013,2073.8
信阳市,2014,2044.6
信阳市,2015,2635
信阳市,2016,2918
信阳市,2017,3055
信阳市,2018,3911
信阳市,2019,4832.3
信阳市,2020,3854.2
信阳市,2021,4467.8
信阳市,2022,3927.8
信阳市,2023,
南阳市,2000,
南阳市,2001,
南阳市,2002,
南阳市,2003,268.9
南阳市,2004,405
南阳市,2005,496
南阳市,2006,605
南阳市,2007,775.64
南阳市,2008,960.2
南阳市,2009,1111.96
南阳市,2010,1251.1
南阳市,2011,1449.8
南阳市,2012,1781.8
南阳市,2013,2027.61
南阳市,2014,1967.6
南阳市,2015,2627.4
南阳市,2016,2941
南阳市,2017,5332.6
南阳市,2018,4045
南阳市,2019,4669.98
南阳市,2020,
南阳市,2021,
南阳市,2022,
南阳市,2023,
周口市,2000,
周口市,2001,
周口市,2002,
周口市,2003,135.9
周口市,2004,215
周口市,2005,272
周口市,2006,314
周口市,2007,399.27
周口市,2008,514.7
周口市,2009,608.84
周口市,2010,686.2
周口市,2011,824.2
周口市,2012,1019.5
周口市,2013,1156.01
周口市,2014,1083.4
周口市,2015,1471
周口市,2016,1626
周口市,2017,3207.12
周口市,2018,2164
周口市,2019,3200
周口市,2020,2624
周口市,2021,2647.27
周口市,2022,1756.5
周口市,2023,
商丘市,2000,
商丘市,2001,
商丘市,2002,
商丘市,2003,175.7
商丘市,2004,231
商丘市,2005,292
商丘市,2006,349
商丘市,2007,442.73
商丘市,2008,536.2
商丘市,2009,649.81
商丘市,2010,804.2
商丘市,2011,951.8
商丘市,2012,1152.6
商丘市,2013,1316.33
商丘市,2014,978.2
商丘市,2015,1575.5
商丘市,2016,1761
商丘市,2017,1666.16
商丘市,2018,1607.59
商丘市,2019,2343.92
商丘市,2020,
商丘市,2021,
商丘市,2022,
商丘市,2023,
安阳市,2000,
安阳市,2001,
