source,target,value
重庆,四川,338359.6775
北京,河北,283316.1437
上海,江苏,213142.3898
上海,安徽,116921.38929999998
天津,河北,116400.46879999997
咸阳,西安,113198.45845
南京,安徽,101474.15870000001
上海,浙江,87332.6641
资阳,成都,80786.52709999999
曲靖,昆明,79855.22475
渭南,西安,77437.5919
毕节,贵阳,73557.2975
贵阳,毕节地区,73553.57029999999
廊坊,北京,73107.14760000001
德阳,成都,71745.8411
眉山,成都,71351.1912
北京,山东,70758.0982
南充,成都,66791.7884
苏州,安徽,65601.7767
重庆,贵州,64589.95759999999
