source,target,value
上海,江苏,645632.4456000001
佛山,广州,467094.05625
北京,河北,448223.08319999994
上海,浙江,354864.0962
东莞,深圳,344331.25415
重庆,四川,328628.8727
惠州,深圳,304218.62080000003
咸阳,西安,295577.70205
苏州,上海,257320.66335
南京,安徽,241146.56269999998
上海,安徽,231339.074
东莞,广州,213674.60685
东莞,惠州,197928.754
清远,广州,189384.16595
绍兴,杭州,189312.99159999998
岳阳,长沙,185956.46870000003
天津,河北,180903.1209
玉林,广东,170820.31110000002
黄冈,武汉,166021.15519999998
廊坊,北京,163638.56334999995
