source,target,value
北京,河北,337193.9024
上海,江苏,247483.6348
东莞,深圳,214250.24245
佛山,广州,193478.3658
咸阳,西安,182455.61065000002
重庆,四川,148358.3805
惠州,深圳,133535.8008
上海,浙江,129312.23819999999
天津,河北,125349.64110000001
廊坊,北京,118519.6977
渭南,西安,95833.62745
东莞,广州,95539.2322
南京,安徽,94935.16660000001
德阳,成都,87599.23180000001
眉山,成都,84916.09040000002
深圳,广州,81152.76845
东莞,惠州,78131.15849999999
岳阳,长沙,77491.96264999999
保定,北京,73545.184
孝感,武汉,70429.50885
