source,target,value
北京,河北,1113525.1073999999
上海,江苏,795160.6317
重庆,四川,685727.2164999999
天津,河北,520601.3849
上海,浙江,518961.14550000004
佛山,广州,472139.77395000006
东莞,深圳,432299.78784999996
咸阳,西安,418185.1688
惠州,深圳,359241.88649999996
苏州,上海,328480.41445
南京,安徽,304043.1593
廊坊,北京,282217.5786
天津,北京,255600.54645
渭南,西安,246755.6395
保定,北京,241372.06490000003
东莞,广州,228022.32535000003
东莞,惠州,222746.60259999995
深圳,广州,211831.79635000002
上海,安徽,210596.684
苏州,浙江,209598.6138
