source,target,value
北京,河北,1341542.9856
上海,江苏,960475.2974999999
重庆,四川,925358.7518999998
天津,河北,655079.5491
上海,浙江,566112.4898
佛山,广州,534990.7741
咸阳,西安,489172.5047499999
东莞,深圳,450013.57940000005
苏州,上海,407210.47285
惠州,深圳,407193.9606499999
南京,安徽,387269.3017
廊坊,北京,345790.44275000005
上海,安徽,305199.53419999994
渭南,西安,296576.30090000003
天津,北京,278780.63594999997
保定,北京,272255.2577
东莞,惠州,270393.91894999996
赣州,广东,266393.84
东莞,广州,263582.72195
苏州,浙江,259544.11219999997
