source,target,value
重庆,四川,713956.1708
咸阳,西安,293078.06995
上海,江苏,286106.5391
北京,河北,203608.9736
渭南,西安,189606.79425
佛山,广州,183126.16304999997
南京,安徽,178247.95320000002
孝感,武汉,173740.18490000002
德阳,成都,169567.92815000002
眉山,成都,166662.61949999997
资阳,成都,146090.81295
广安,重庆,140692.2611
曲靖,昆明,137363.23080000002
上海,安徽,134082.763
南充,成都,131052.98250000001
黄冈,武汉,129588.6827
益阳,长沙,124987.03419999998
贵阳,毕节地区,123449.35999999999
毕节,贵阳,123436.09160000001
岳阳,长沙,123229.55734999999
