source,target,value
北京,河北,519924.9183
上海,江苏,350654.62049999996
佛山,广州,246355.74535
东莞,深圳,245061.37675
重庆,四川,224595.194
咸阳,西安,219901.32014999999
上海,浙江,208789.80800000002
天津,河北,198160.93709999998
惠州,深圳,182499.1146
苏州,上海,169551.88359999997
廊坊,北京,143464.698
南京,安徽,141850.1228
渭南,西安,116233.40840000001
东莞,广州,113709.1927
保定,北京,106981.153
东莞,惠州,106752.93625000001
眉山,成都,104995.76800000001
天津,北京,104110.32975
岳阳,长沙,102864.48895
德阳,成都,100823.0429
