source,target,value
北京,河北,105545.87229999999
上海,江苏,87282.4827
东莞,深圳,75896.96375
佛山,广州,68193.23655
重庆,四川,55363.917100000006
咸阳,西安,53364.056150000004
苏州,上海,45577.8575
天津,河北,44968.297399999996
廊坊,北京,43629.1074
惠州,深圳,41029.4393
上海,浙江,40823.058300000004
南京,安徽,33905.9496
东莞,广州,29825.6128
东莞,惠州,28610.92375
孝感,武汉,26372.0237
渭南,西安,26102.7617
嘉兴,杭州,24209.37895
天津,北京,24015.447699999997
德阳,成都,23867.10015
黄冈,武汉,23200.8378
