source,target,value
北京,河北,258709.2981
上海,江苏,256394.97039999996
佛山,广州,235475.69455000001
咸阳,西安,224147.31689999998
东莞,深圳,178297.66715
上海,浙江,135905.9951
苏州,上海,129241.5852
惠州,深圳,118496.71279999998
东莞,广州,108597.04075
廊坊,北京,108547.42134999999
岳阳,长沙,101162.97099999999
渭南,西安,97176.0241
东莞,惠州,94491.18675000001
天津,河北,92361.1146
南京,安徽,92321.2456
绍兴,杭州,88385.48825
漳州,厦门,84013.7441
嘉兴,杭州,83376.19539999998
清远,广州,83101.99985000001
益阳,长沙,78856.43074999998
