source,target,value
重庆,四川,306930.42120000004
上海,江苏,168981.92190000002
北京,河北,142104.7685
佛山,广州,135164.21055
东莞,深圳,128932.17855
惠州,深圳,116685.24209999999
眉山,成都,115021.68659999999
曲靖,昆明,108887.49985000001
天津,河北,108291.05040000001
咸阳,西安,105688.5441
德阳,成都,103388.86190000002
孝感,武汉,96635.24755
贵阳,毕节地区,96301.6645
毕节,贵阳,96297.9399
资阳,成都,94506.5569
南京,安徽,88797.1924
益阳,长沙,85688.69155
开封,郑州,84358.5753
南充,成都,83157.7212
岳阳,长沙,82595.53675
