source,target,value
北京,河北,921090.8187000001
上海,江苏,676995.3206
重庆,四川,597272.7795
佛山,广州,397182.86225
天津,河北,386524.53940000007
咸阳,西安,378389.61765
东莞,深圳,372063.51999999996
上海,浙江,367589.77229999995
惠州,深圳,293579.20434999996
南京,安徽,271328.17919999996
上海,安徽,260521.744
苏州,上海,259776.7644
渭南,西安,245989.01989999998
廊坊,北京,244863.28175000002
黄冈,武汉,199745.35145000002
孝感,武汉,195709.25855
眉山,成都,194863.5265
东莞,广州,193490.32400000002
德阳,成都,192767.15815000003
东莞,惠州,186203.61689999996
