source,target,value
北京,河北,164748.7183
佛山,广州,116461.32830000001
东莞,深圳,112643.99015
上海,江苏,96753.69090000002
重庆,四川,96442.9572
咸阳,西安,81663.9689
惠州,深圳,72239.71575
天津,河北,71585.1183
廊坊,北京,63260.46345
苏州,上海,51503.61245
德阳,成都,46178.9889
上海,浙江,44961.1918
南京,安徽,44905.342000000004
眉山,成都,44644.69925
东莞,广州,43280.94425
东莞,惠州,42160.86305
渭南,西安,40121.3883
孝感,武汉,38755.973849999995
保定,北京,36591.8447
中山,珠海,35842.465749999996
